CC,Website,Keytext in URL,Page Type
VN,websosanh.vn,/so-sanh.htm,PDP
VN,websosanh.vn,/chi-tiet.htm,PDP
VN,websosanh.vn,/cat-,PLP
VN,websosanh.vn,/s/,Search
VN,websosanh.vn,/,Homepage
VN,iprice.vn,/trends/,Article
VN,iprice.vn,/gia-ban/,PDP
VN,iprice.vn,/coupons/,Coupons
VN,iprice.vn,/search/,Search
VN,iprice.vn,/,Homepage
VN,www.thegioididong.com,/bao-hanh,Service Center
VN,www.thegioididong.com,/may-doi-tra/,Secondhand
VN,www.thegioididong.com,/tin-tuc,Article
VN,www.thegioididong.com,/sim-so-dep,Simcare
VN,www.thegioididong.com,/hoi-dap,FQA
VN,www.thegioididong.com,vs-,Compare
VN,www.thegioididong.com,/dtdd/,PDP
VN,www.thegioididong.com,dtdd-,PLP
VN,www.thegioididong.com,/,Homepage
ID,www.pricebook.co.id,/shop/,Merchant
ID,www.pricebook.co.id,/article/,Article
ID,www.pricebook.co.id,/forum/,Forum
ID,www.pricebook.co.id,/compare/,Compare
ID,www.pricebook.co.id,/PD_,PDP
ID,www.pricebook.co.id,/,Homepage
ID,iprice.co.id,/trend/,Article
ID,iprice.co.id,/harga/,PDP
ID,iprice.co.id,/coupons/,Coupons
ID,iprice.co.id,/,Homepage
ID,id.priceprice.com,/merchants/,Merchant
ID,id.priceprice.com,/sellers/,Merchant
ID,id.priceprice.com,/forum/,Forum
ID,id.priceprice.com,/news/,Article
ID,id.priceprice.com,/reviews/,Article
ID,id.priceprice.com,/specs/,PDP
ID,id.priceprice.com,/?,PLP
ID,id.priceprice.com,/,Homepage
TH,www.lazada.co.th,.html,PDP
TH,www.lazada.co.th,/shop,Merchant
TH,www.lazada.co.th,/voucher,Voucher
TH,www.lazada.co.th,/catalog/?q=,Search
TH,www.lazada.co.th,/,Homepage
PH,www.lazada.com.ph,.html,PDP
PH,www.lazada.com.ph,/shop,Merchant
PH,www.lazada.com.ph,/voucher,Voucher
PH,www.lazada.com.ph,/catalog/?q=,Search
PH,www.lazada.com.ph,/,Homepage
HK,www.price.com.hk,shop.php,Merchant
HK,www.price.com.hk,/news,Article
HK,www.price.com.hk,&ct=review,PDP
HK,www.price.com.hk,&ct=news,PDP
HK,www.price.com.hk,&ct=trade,PDP
HK,www.price.com.hk,/search.php,Search
HK,www.price.com.hk,/product.php,PDP
HK,www.price.com.hk,/ec-product-detail.php,PDP
HK,www.price.com.hk,/trade_item.php,PDP
HK,www.price.com.hk,/category.php,PLP
HK,www.price.com.hk,/zone.php,PLP
HK,www.price.com.hk,/ec-product-list.php,PLP
HK,www.price.com.hk,/trade_index.php,PLP
HK,www.price.com.hk,/group.php,PLP
HK,www.price.com.hk,/compare.php,Compare
HK,www.price.com.hk,/,Homepage
HK,iprice.hk,/trends,Article
HK,iprice.hk,/compare/,PDP
HK,iprice.hk,/coupons/,Coupons
HK,iprice.hk,/,Homepage
HK,iprice.hk,excluded above,PLP
SG,www.lazada.sg,.html,PDP
SG,www.lazada.sg,/shop,Merchant
SG,www.lazada.sg,/voucher,Voucher
SG,www.lazada.sg,/catalog/?q=,Search
SG,www.lazada.sg,/,Homepage
TH,www.looksi.com,.html,PDP
TH,www.looksi.com,/blog,Article
TH,www.looksi.com,excluded above,PLP
SG,www.zalora.sg,.html,PDP
SG,www.zalora.sg,/,Homepage
SG,www.zalora.sg,excluded above,PLP
PH,www.zalora.com.ph,.html,PDP
PH,www.zalora.com.ph,/,Homepage
PH,www.zalora.com.ph,excluded above,PLP
VN,www.robins.vn,.html,PDP
VN,www.robins.vn,/,Homepage
VN,www.robins.vn,excluded above,PLP
PH,beautymnl.com,/bloom/,Article
PH,beautymnl.com,/section/,Article
PH,beautymnl.com,/brands,PLP-brand
PH,beautymnl.com,/products,PDP
PH,beautymnl.com,/s/,Search
PH,beautymnl.com,/t/,PLP
HK,zh.zalora.com.hk,.html,PDP
HK,zh.zalora.com.hk,/,Homepage
HK,zh.zalora.com.hk,excluded above,PLP
VN,www.sendo.vn,/,Homepage
VN,www.sendo.vn,/shop/,Merchant
VN,www.sendo.vn,.html,PDP
VN,www.sendo.vn,excluded above,PLP
ID,productnation.co,all,Article
MY,productnation.co,all,Article
SG,productnation.co,all,Article
PH,productnation.co,all,Article
TH,productnation.co,all,Article
ID,www.tokopedia.com,/blog/,Article
ID,www.tokopedia.com,without end /,PDP
ID,www.tokopedia.com,/official-store/,Merchant
ID,www.tokopedia.com,/promo/,Voucher
ID,www.tokopedia.com,/hot/,HotList
ID,www.tokopedia.com,/,Homepage
ID,www.tokopedia.com,excluded above,PLP
